Date,Open,High,Low,Close,Volume,WMA_10,WMA_30
2009-10-25,109.06999969482422,110.30999755859375,107.5,108.08000183105469,1044308000,105.10699920654297,96.34266611735026
2009-11-01,108.19999694824219,109.30999755859375,103.44000244140625,103.55999755859375,1267834600,105.16599884033204,96.9859992980957
2009-11-08,104.12999725341797,107.4000015258789,103.08000183105469,107.12999725341797,1081551600,105.54099884033204,97.69666595458985
2009-11-15,107.94999694824219,110.81999969482422,107.87000274658203,109.62000274658203,808969200,106.29699935913087,98.44799931844075
2009-11-22,110.37999725341797,111.69000244140625,109.01000213623047,109.43000030517578,857473700,106.7629997253418,99.20699920654297
2009-11-29,110.72000122070312,111.73999786376953,108.29000091552734,109.56999969482422,521996900,107.04799957275391,99.92966588338216
2009-12-06,109.4800033569336,112.37999725341797,108.12000274658203,111.01000213623047,895036300,107.70400009155273,100.53066584269206
2009-12-13,110.91000366210938,111.52999877929688,109.0199966430664,111.11000061035156,715769500,108.56600036621094,101.27733256022135
2009-12-20,111.87000274658203,112.12999725341797,109.27999877929688,110.20999908447266,740889800,108.86100006103516,101.9836659749349
2009-12-27,110.76000213623047,112.5999984741211,110.76000213623047,112.4800033569336,361207700,109.22000045776367,102.64866612752279
2010-01-03,112.9000015258789,113.02999877929688,111.38999938964844,111.44000244140625,331857300,109.55600051879883,103.21166610717773
2010-01-10,112.37000274658203,114.62000274658203,111.51000213623047,114.56999969482422,604092800,110.65700073242188,103.86133270263672
2010-01-17,115.08000183105469,115.13999938964844,113.19999694824219,113.63999938964844,759533100,111.30800094604493,104.58133265177409
2010-01-24,113.62000274658203,115.12999725341797,109.08999633789062,109.20999908447266,1046464900,111.26700057983399,105.16033274332682
2010-01-31,110.20999908447266,110.47000122070312,107.22000122070312,107.38999938964844,1296751500,111.06300048828125,105.74633280436198
2010-02-07,108.1500015258789,110.58999633789062,104.58000183105469,106.66000366210938,1427225100,110.77200088500976,106.3696662902832
2010-02-14,106.73999786376953,108.25,105.80999755859375,108.04000091552734,1330712600,110.47500076293946,106.83333307902018
2010-02-21,108.86000061035156,111.56999969482422,107.81999969482422,111.13999938964844,744556100,110.47800064086914,107.26933314005534
2010-02-28,111.55000305175781,111.58000183105469,108.94000244140625,110.73999786376953,949418600,110.53100051879883,107.66699981689453
2010-03-07,111.19999694824219,114.33999633789062,111.16999816894531,114.25,771376300,110.70800018310547,108.1019999186198
2010-03-14,114.26000213623047,115.97000122070312,113.87000274658203,115.45999908447266,778142600,111.10999984741211,108.59099985758463
2010-03-21,115.26000213623047,117.4800033569336,114.5999984741211,115.97000122070312,916108100,111.25,109.02433319091797
2010-03-28,115.30999755859375,118.16999816894531,115.23999786376953,116.58000183105469,992696800,111.54400024414062,109.46433334350586
2010-04-04,117.16999816894531,118.25,116.61000061035156,117.80000305175781,602579900,112.40300064086914,109.98900019327799
2010-04-11,118.25,119.5999984741211,117.5999984741211,119.55000305175781,692518600,113.61900100708007,110.4816670735677
2010-04-18,119.69999694824219,121.56999969482422,118.75,119.36000061035156,908333600,114.8890007019043,110.90300038655599
2010-04-25,119.01000213623047,121.86000061035156,118.47000122070312,121.80999755859375,861261700,116.26600036621093,111.4816670735677
2010-05-02,121.8499984741211,122.12000274658203,118.25,118.80999755859375,1263760600,117.03300018310547,112.02566706339518
2010-05-09,119.37999725341797,120.68000030517578,105.0,111.26000213623047,2156989900,117.08500061035156,112.15900039672852
2010-05-16,115.80999755859375,117.68000030517578,112.87000274658203,113.88999938964844,1529670400,117.0490005493164,112.32566706339519
2010-05-23,114.19999694824219,115.22000122070312,105.36000061035156,109.11000061035156,2112367000,116.4140007019043,112.36000035603841
2010-05-30,108.5199966430664,110.80000305175781,104.37999725341797,109.37000274658203,1614851500,115.75400085449219,112.55366719563803
2010-06-06,108.3499984741211,111.05999755859375,106.45999908447266,106.81999969482422,1143247000,114.77800064086914,112.5433339436849
2010-06-13,107.19999694824219,109.75,104.6500015258789,109.68000030517578,1422425500,113.96600036621093,112.54533386230469
2010-06-20,110.5199966430664,112.41999816894531,109.4000015258789,111.7300033569336,1099031200,113.18400039672852,112.62200063069662
2010-06-27,113.12000274658203,113.19999694824219,106.7699966430664,107.87000274658203,1214386100,112.03500061035156,112.56533406575521
2010-07-04,108.02999877929688,108.31999969482422,101.12999725341797,102.19999694824219,1443279800,110.07400054931641,112.2716672261556
